ID,RecordedDate,PrimaryStatusAfterGraduation,BranchOfService,CareerMeetsExpectation,EmployingOrganization,JobTitle,State,City,Employer_Country,Compensation,Salary_range,Degree_required,Employment_offer,Employment_acceptance,Job_connection,Application_website,Other_job_connection,Graduate_School,Graduate_School_Location,Graduate_Degree_Country,Graduate_Program,Program_Type,Postgraduation_offer,CC_job_Rating,CC_Drop_in_Advising_CareerLab ,CC_Handshake_Jobs,CC_Interview_Preparation,CC_Oncampus_Interview,CC_Networking_Strategies,CC_Career_Major_Exploration,CC_Fairs_Career_Events,CC_Resume_Cover_Letter_Review,CC_Career_Assessments ,CC_Resume_Cover_Letter Review,Primary_Status_Matching_Expectations,CC_Workshops
32633,06Jun2019 16:38:19,Employed full time (on average 30 hours or more per week),,,Swissotel,Sales and Catering Coordinator,Illinois,Chicago,,Hourly,"$45,000 - $49,999",A college degree is required and the position is related to my field of study.,0-3 months after graduation,0-3 months after graduation,GVSU Faculty/Staff Recommendation,,,,,,,,No,Satisfied,Very Satisfied,Dissatisfied,Very Satisfied,Dissatisfied,Somewhat Satisfied,Somewhat Satisfied,Dissatisfied,Very Satisfied,Somewhat Satisfied,Dissatisfied,Strongly Agree,Satisfied
32634,26Apr2018 17:42:22,Seeking employment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly Disagree,
32635,11Jan2018 11:36:38,"Enrolled in a program of continuing education (e.g., graduate, professional school, certificate program, additional coursework)",,,,,,,,,,,,,,,,LCC,Michigan,,Sign language interpreting,Certificate,Yes,,,,,,,,,,,,Strongly Agree,
32636,23Dec2020 10:54:00,Employed part time (on average less than 30 hours per week),,,The University of New Mexico,Graduate Student Grader,New Mexico,Albuquerque,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32637,09Oct2019 19:27:00,Employed part time (on average less than 30 hours per week),,,Kohls,Sales associate,Michigan,Novi,,Hourly,"Less than $20,000",Having a college degree made no difference to me obtaining this position.,6+ months before graduation,6+ months before graduation,Other On-line Job Posting Systems (please specify),Indeed,,,,,,,,Very Dissatisfied,Dissatisfied,Very Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Neutral,Dissatisfied
32638,07Jul2020 8:11:00,Employed full time (on average 30 hours or more per week),,,Spectrum Health,Registered Nurse,Michigan,Grand Rapids,,Hourly,"$55,000 - $59,999",A college degree is required and the position is related to my field of study.,0-3 months before graduation,0-3 months before graduation,Personal Network,,,,,,,,No,,,,,,,,,,,,Strongly Agree,
32639,19Dec2017 20:33:38,Employed full time (on average 30 hours or more per week),,,Countryside Greenhouse,Home Deliveries Manager,Michigan,Allendale,,Hourly,"$30,000 - $34,999",Having a college degree made no difference to me obtaining this position.,6+ months before graduation,6+ months before graduation,Other,,Worked there in the past,,,,,,Yes,,Somewhat Satisfied,Somewhat Satisfied,,,Somewhat Satisfied,Somewhat Satisfied,Somewhat Satisfied,,,,Strongly Agree,
32640,10Jan2021 13:54:00,Employed full time (on average 30 hours or more per week),,,Northern Kentucky University,Athletics Facilities & Events Coordinator,Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32641,31Jan2018 11:31:40,Employed full time (on average 30 hours or more per week),,,"WGHN, Inc",Marketing and Digital Media Manager,Michigan,Grand Haven,,Hourly,"Less than $20,000",A college degree is required and the position is related to my field of study.,0-3 months before graduation,0-3 months before graduation,Career Center On-line Recruiting System (LakerJobs),,,,,,,,No,Very Satisfied,,Very Satisfied,,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,,,Strongly Agree,Very Satisfied
32642,14Jan2021 15:50:00,Employed full time (on average 30 hours or more per week),,,The Willows at East Lansing,Life Enrichment Director,Michigan,Lansing,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32643,27Jan2020 17:39:00,Employed full time (on average 30 hours or more per week),,,Von Maur,Sales Associate,Michigan,Grand Rapids,,Hourly,"$20,000 - $24,999",Having a college degree made no difference to me obtaining this position.,3-6 months after graduation,3-6 months after graduation,Other,,Approached at previous job,,,,,,No,,,,,,,,,,,,Disagree,
32644,21Nov2019 14:18:25,Employed full time (on average 30 hours or more per week),,,SOLV Marketing,Graphic designer,Michigan,Midland,,Hourly,"$30,000 - $34,999","A college degree is not required for this job, but my degree helped me to obtain it.",0-3 months before graduation,0-3 months before graduation,Other On-line Job Posting Systems (please specify),Indeed,,,,,,,No,,Satisfied,Satisfied,Satisfied,,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,,Strongly Agree,Satisfied
32645,01Feb2018 12:45:59,Employed full time (on average 30 hours or more per week),,,Grand River Emergency Medical Group,PA,Michigan,Grand Rapids,,Hourly,"$80,000 - $84,999",A graduate degree is required and the position is related to my field of study.,3-6 months before graduation,3-6 months before graduation,Personal Network,,,,,,,,No,,,,Satisfied,,,,Somewhat Satisfied,Satisfied,,,,
32646,21Dec2020 13:28:00,Employed full time (on average 30 hours or more per week),,,Alliant Healthcare Products,Associate Government Sales Representative,Michigan,Grand Rapids,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32647,20Jul2017 13:08:22,Employed full time (on average 30 hours or more per week),,Strongly Agree,Grandville Public Schools,Teacher,Michigan,Grandville,,Hourly,"$45,000 - $49,999",A college degree is required and the position is related to my field of study.,0-3 months after graduation,0-3 months after graduation,Other,,Education Degree Requirements (Teacher Assisting),,,,,,Yes,Very Satisfied,Somewhat Satisfied,Somewhat Satisfied,Satisfied,Satisfied,Somewhat Satisfied,Dissatisfied,Somewhat Satisfied,Somewhat Satisfied,Dissatisfied,Somewhat Satisfied,,
32648,27Jan2020 22:30:00,Employed full time (on average 30 hours or more per week),,,Cottonwood Christian Learning Center,Assistant teacher,Michigan,Jenison,,Hourly,"$25,000 - $29,999","A college degree is not required for this job, but my degree helped me to obtain it.",3-6 months after graduation,6-9 months after graduation,Other,,Indeed,,,,,,No,Very Satisfied,Somewhat Satisfied,Very Satisfied,Somewhat Satisfied,Somewhat Satisfied,Somewhat Satisfied,Satisfied,Somewhat Satisfied,Somewhat Satisfied,Somewhat Satisfied,Satisfied,Agree,Somewhat Satisfied
32649,06Jun2019 15:22:17,Seeking employment,,,,,,,,,,,,,,,,,,,,,No,,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,,
32650,25Jun2020 8:46:00,Employed full time (on average 30 hours or more per week),,,AdviseMI,College Advisor,Michigan,Montague,,Click to write Choice 3,,A college degree is required and the position is related to my field of study.,0-3 months before graduation,0-3 months before graduation,GVSU Career & Internship Fair,,,,,,,,No,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Agree,Very Satisfied
32651,03Jun2020 12:00:00,Seeking employment,,,,,,,,,,,,,,,,,,,,,,,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,,Satisfied,Satisfied,Satisfied,Satisfied,Strongly Agree,Satisfied
32652,10Oct2018 9:47:26,Employed full time (on average 30 hours or more per week),,,Walt Disney World,Fairy Godmother in Training at the Bibbidi Bobbidi Botique,Florida,Orlando,,Hourly,"Less than $20,000",Having a college degree made no difference to me obtaining this position.,6+ months before graduation,6+ months before graduation,Personal Network,,,,,,,,Yes,,,,,,Somewhat Satisfied,,,,,,Strongly Agree,
32653,17Jan2017 18:06:29,Employed full time (on average 30 hours or more per week),,Agree,Huntington National Bank,Branch Relationship Banker,Michigan,"Grand Rapids, MI",,Hourly,"$35,000 - $39,999","A college degree is not required for this job, but my degree helped me to obtain it.",0-3 months after graduation,0-3 months before graduation,Other,,Employer website,,,,,,,Very Dissatisfied,Somewhat Satisfied,Somewhat Satisfied,Somewhat Satisfied,Dissatisfied,Dissatisfied,Somewhat Satisfied,Very Dissatisfied,Somewhat Satisfied,Somewhat Satisfied,,,
32654,03Jul2019 9:39:49,Employed full time (on average 30 hours or more per week),,,Owl Computing,Developer,Michigan,"Walker, MI",,Hourly,"$35,000 - $39,999",A college degree is required and the position is related to my field of study.,0-3 months before graduation,0-3 months before graduation,Personal Network,,,,,,,,Yes,,,,,,,,,Very Satisfied,,,Agree,
32655,06Jun2019 15:18:30,Employed part time (on average less than 30 hours per week),,,Spectrum health,Patient access,Michigan,Zeeland,,Hourly,"$30,000 - $34,999","A college degree is not required for this job, but my degree helped me to obtain it.",0-3 months after graduation,0-3 months after graduation,Other On-line Job Posting Systems (please specify),Employer work site,,,,,,,No,Dissatisfied,Somewhat Satisfied,Somewhat Satisfied,Somewhat Satisfied,Dissatisfied,Dissatisfied,Dissatisfied,Dissatisfied,Somewhat Satisfied,Somewhat Satisfied,Somewhat Satisfied,Agree,Dissatisfied
32656,22Dec2020 12:04:00,Employed part time (on average less than 30 hours per week),,,Martha Bible and Missionary Conference,Front Desk Staff/Security/Maintenance,Michigan,Muskegon,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32657,17Oct2018 11:55:40,Employed full time (on average 30 hours or more per week),,,Wayne State University,Research Assistant,Michigan,Detroit,,Click to write Choice 3,,A college degree is required and the position is related to my field of study.,0-3 months after graduation,0-3 months after graduation,Personal Network,,,,,,,,Yes,,,,,,,,,,,,Agree,
32658,13Jul2017 14:02:25,Employed part time (on average less than 30 hours per week),,Strongly Agree,Grand Valley State University,Math Teacher,Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32659,16Sep2016 8:43:52,"Enrolled in a program of continuing education (e.g., graduate, professional school, certificate program, additional coursework)",,Strongly Agree,,,,,,,,,,,,,,Grand Valley State University,Michigan,,Master of Science in Accounting,Master's,Yes,Very Satisfied,Satisfied,Satisfied,Very Satisfied,Very Satisfied,,,Very Satisfied,,,,,
32660,18Aug2017 18:26:31,Employed full time (on average 30 hours or more per week),,Strongly Agree,QAD Inc,Solutions Architect Consultant,California,Santa Barbara,,Hourly,"$80,000 - $84,999",A college degree is required and the position is related to my field of study.,0-3 months after graduation,0-3 months after graduation,Other On-line Job Posting Systems (please specify),,,,,,,,No,Satisfied,Dissatisfied,Dissatisfied,Satisfied,Dissatisfied,Dissatisfied,Somewhat Satisfied,Dissatisfied,,,,,
32661,24Aug2016 19:45:21,Serving in the U.S. military,Marine Corps/Marine Corps Reserve,,,,Michigan,,,Click to write Choice 3,,,,,,,,,,,,,No,,,,,,,,,,,,,
32662,21Dec2020 11:53:00,Employed full time (on average 30 hours or more per week),,,SeyferthPR,Project Coordinator,Michigan,Grand Rapids,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32663,19Sep2016 8:10:04,Employed full time (on average 30 hours or more per week),,Strongly Agree,Hutchinson Anti-Vibration Systems,Product Development Engineer,Michigan,Grand Rapids,,Hourly,"$55,000 - $59,999",A college degree is required and the position is related to my field of study.,6+ months before graduation,6+ months before graduation,Other,,GVSU Career Fair.  I was seeking employment for my required GVSU Engineering Co-op Internship,,,,,,Yes,Satisfied,,,Satisfied,Satisfied,,,,,,,,
32664,14Jan2021 10:00:00,Employed full time (on average 30 hours or more per week),,,The Carrington at Lincolnwood,Director of Human Resources,Illinois,Lincolnwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32665,15Jan2021 13:14:00,Employed full time (on average 30 hours or more per week),,,Vista Springs,Medication and Treatment Professional,Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32666,08Oct2018 10:31:04,"Enrolled in a program of continuing education (e.g., graduate, professional school, certificate program, additional coursework)",,,,,,,,,,,,,,,,Western Theological Seminary,Michigan,,Youth and Family Ministry,Master's,Yes,,,,,,,Satisfied,Satisfied,,Satisfied,,Agree,
32667,27Feb2019 9:54:34,Employed part time (on average less than 30 hours per week),,,"Bridges of Hope, Allegan County",administrative coordinator,Michigan,Plainwell,,Hourly,"Less than $20,000",An undergraduate degree is required and the position is related to my field of study,3-6 months before graduation,3-6 months before graduation,Other Job Posting System (please specify),Indeed,,,,,,,No,,,Very Satisfied,,,,,,,,Satisfied,,
32668,15Oct2017 15:19:43,Employed full time (on average 30 hours or more per week),,,TBAISD,Special Education Supervisor,Michigan,Traverse City,,Hourly,"$95,000 - $100,00",A graduate degree is required and the position is related to my field of study.,6+ months before graduation,6+ months before graduation,Other,,Was already working for ISD prior to starting the program,,,,,,No,,,,,,,,,,,,,
32669,30Dec2020 10:56:00,Employed full time (on average 30 hours or more per week),,,"Anesthesia Practice Consultants, P.C.",Human Resources Coordinator,Michigan,Grand Rapids,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32670,14Feb2019 13:21:17,Employed full time (on average 30 hours or more per week),,,Haworth,Finance Associate,Michigan,Holland,,Hourly,"$45,000 - $49,999",A college degree is required and the position is related to my field of study.,3-6 months before graduation,3-6 months before graduation,Other GVSU Career Event,,,,,,,,Yes,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,,,Strongly Agree,
32671,15Sep2016 13:13:01,Employed full time (on average 30 hours or more per week),,Strongly Agree,GVSU,Security Officer,Michigan,Allendale,,Hourly,"Less than $20,000",A college degree is required and the position is related to my field of study.,6-9 months after graduation,6-9 months after graduation,Other,,Police Academy,,,,,,No,Very Satisfied,Very Satisfied,Somewhat Satisfied,Satisfied,Somewhat Satisfied,Somewhat Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,,
32672,19Jun2018 17:22:47,Employed full time (on average 30 hours or more per week),,,Uccellos Standale,N/A,Michigan,Grand Rapids,,Click to write Choice 3,,,,,,,,,,,,,,,,,,,,,,,,,Strongly Disagree,
32673,06Jun2020 14:04:00,Seeking employment,,,,,,,,,,,,,,,,,,,,,No,,,Satisfied,,,,,Somewhat Satisfied,,,,Agree,
32674,07Jun2019 11:55:54,Employed full time (on average 30 hours or more per week),,,Walt Disney Company,Intern,Florida,Orlando,,Hourly,"$20,000 - $24,999","A college degree is not required for this job, but my degree helped me to obtain it.",6+ months before graduation,6+ months before graduation,Personal Network,,,,,,,,Yes,Very Satisfied,Dissatisfied,Dissatisfied,Somewhat Satisfied,Satisfied,Somewhat Satisfied,Very Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Strongly Agree,Somewhat Satisfied
32675,27Jan2020 16:24:00,Employed full time (on average 30 hours or more per week),,,Atos,Coding support specialist,Michigan,Pontiac,,Hourly,"$35,000 - $39,999","A college degree is not required for this job, but my degree helped me to obtain it.",6+ months before graduation,0-3 months after graduation,Personal Network,,,,,,,,Yes,Satisfied,Dissatisfied,Very Dissatisfied,Satisfied,,Very Dissatisfied,Satisfied,,Dissatisfied,,,Strongly Agree,
32676,01Aug2019 13:30:54,Employed full time (on average 30 hours or more per week),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,
32677,11Jun2019 20:05:45,Employed part time (on average less than 30 hours per week),,,Self-employed,Motion Graphics Artist,Michigan,Grand Rapids,,Hourly,"$30,000 - $34,999",A college degree is required and the position is related to my field of study.,3-6 months before graduation,0-3 months before graduation,Other On-line Job Posting Systems (please specify),Indeed,,,,,,,No,Satisfied,Somewhat Satisfied,Satisfied,Dissatisfied,Satisfied,Somewhat Satisfied,Very Satisfied,Very Dissatisfied,Somewhat Satisfied,,,Agree,
32678,06Jun2019 13:57:22,"Enrolled in a program of continuing education (e.g., graduate, professional school, certificate program, additional coursework)",,,,,,,,,,,,,,,,University of New England,Maine,,Occupational Therapy,Master's,No,Satisfied,Somewhat Satisfied,Somewhat Satisfied,Somewhat Satisfied,,Somewhat Satisfied,Satisfied,Somewhat Satisfied,Satisfied,Somewhat Satisfied,Satisfied,Strongly Agree,
32679,24Oct2017 8:16:52,Employed full time (on average 30 hours or more per week),,,"SalesPad, LLC",Web Developer,Michigan,Grand Rapids,,Hourly,"$45,000 - $49,999",A college degree is required and the position is related to my field of study.,6+ months before graduation,6+ months before graduation,Career Fair,,,,,,,,Yes,Somewhat Satisfied,,Very Dissatisfied,Somewhat Satisfied,Somewhat Satisfied,Somewhat Satisfied,Somewhat Satisfied,Somewhat Satisfied,Somewhat Satisfied,,,Agree,Somewhat Satisfied
32680,31May2018 14:59:43,"Enrolled in a program of continuing education (e.g., graduate, professional school, certificate program, additional coursework)",,,,,,,,,,,,,,,,Grand Valley,Unknown,,Speech Pathology,Master's,No,Satisfied,Somewhat Satisfied,Somewhat Satisfied,Satisfied,Somewhat Satisfied,Somewhat Satisfied,Somewhat Satisfied,Satisfied,Very Satisfied,,Somewhat Satisfied,Neutral,Satisfied
32681,05Mar2020 8:06:00,Employed full time (on average 30 hours or more per week),,,Massachusetts General Hospital,Research Technician II,Massachusetts,Boston,,Hourly,"$45,000 - $49,999",A graduate degree is required and the position is related to my field of study.,0-3 months before graduation,0-3 months before graduation,Other Job Posting System (please specify),LinkedIn,,,,,,,Yes,Satisfied,Somewhat Satisfied,Somewhat Satisfied,,Very Dissatisfied,Somewhat Satisfied,Satisfied,Somewhat Satisfied,Somewhat Satisfied,Somewhat Satisfied,Satisfied,Strongly Agree,Dissatisfied
32682,04Jun2020 11:02:00,Employed full time (on average 30 hours or more per week),,,Spectrum Health,Registered Nurse,Michigan,Grand Rapids,,Hourly,"$50,000 - $54,999",A college degree is required and the position is related to my field of study.,0-3 months after graduation,0-3 months after graduation,Other On-line Job Posting Systems (please specify),Spectrum Health career site,,,,,,,No,,,,,,,,,,,,Agree,
32683,15Jun2017 17:31:36,Employed full time (on average 30 hours or more per week),,Neutral,Pine Rest,Care Provider,Michigan,Grand Rapids,,Hourly,"Less than $20,000","A college degree is not required for this job, but my degree helped me to obtain it.",3-6 months before graduation,3-6 months before graduation,Career Fair,,,,,,,,,Satisfied,Very Satisfied,Somewhat Satisfied,Satisfied,,,Satisfied,,,,,,
32684,06Dec2016 10:27:23,"Enrolled in a program of continuing education (e.g., graduate, professional school, certificate program, additional coursework)",,Agree,,,,,,,,,,,,,,Grand Valley State University,Michigan,,Public Health Promotion,Master's,No,Somewhat Satisfied,Satisfied,Somewhat Satisfied,Satisfied,Somewhat Satisfied,Satisfied,Somewhat Satisfied,Satisfied,,Satisfied,,,
32685,14Jan2021 13:25:00,Employed full time (on average 30 hours or more per week),,,General Mills,Inventory Analyst,Minnesota,Minneapolis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32686,15Feb2020 17:23:00,"Enrolled in a program of continuing education (e.g., graduate, professional school, certificate program, additional coursework)",,,,,,,,,,,,,,,,Indiana University Robert H. McKinney School of Law,Indiana,,Juris Doctor (Doctor of Law),Doctorate,No,Somewhat Satisfied,Satisfied,Very Satisfied,Satisfied,Dissatisfied,Somewhat Satisfied,Dissatisfied,Somewhat Satisfied,Satisfied,Somewhat Satisfied,Somewhat Satisfied,Agree,Somewhat Satisfied
32687,29Nov2017 17:58:43,Employed full time (on average 30 hours or more per week),,Agree,(undisclosed),Lab Technician,Colorado,Colorado Springs,,Hourly,,"A college degree is not required for this job, but my degree helped me to obtain it.",9+ months after graduation,9+ months after graduation,Other On-line Job Posting Systems (please specify),Indeed,,,,,,,,,Somewhat Satisfied,,,,,Somewhat Satisfied,Somewhat Satisfied,,,,,
32688,03Feb2020 9:29:00,"Enrolled in a program of continuing education (e.g., graduate, professional school, certificate program, additional coursework)",,,,,,,,,,,,,,,,Walsh College,Michigan,,Accounting,Master's,Yes,Very Satisfied,,Very Satisfied,,Satisfied,Satisfied,Very Satisfied,Very Satisfied,,,,Agree,Satisfied
32689,06Jul2017 21:53:32,Employed full time (on average 30 hours or more per week),,Agree,La Salle News Tribune,Sports staff writer,Illinois,"La Salle, Illinois",,Hourly,"$25,000 - $29,999",A college degree is required and the position is related to my field of study.,0-3 months after graduation,0-3 months after graduation,Other On-line Job Posting Systems (please specify),journalismjobs.com,,,,,,,No,Satisfied,Satisfied,,Satisfied,,,,,,,,,
32690,19Jul2019 10:07:05,"Enrolled in a program of continuing education (e.g., graduate, professional school, certificate program, additional coursework)",,,,,,,,,,,,,,,,Duke University,North Carolina,,Doctor of Physical Therapy,Doctorate,Yes,Satisfied,Dissatisfied,Satisfied,Satisfied,Dissatisfied,Satisfied,Satisfied,Satisfied,Somewhat Satisfied,Somewhat Satisfied,Satisfied,Strongly Agree,Dissatisfied
32691,18Jan2021 14:37:00,Employed part time (on average less than 30 hours per week),,,Wealthy Theatre,Production Assistant,Michigan,Grand Rapids,,,,,,6-9 months after graduation,,,,,,,,,,,,,,,,,,,,,,
32692,25Jun2019 14:19:46,Employed full time (on average 30 hours or more per week),,,Tradesmen International,Recruiter,Michigan,Grand Rapids,,Hourly,"$30,000 - $34,999",A college degree is required and the position is related to my field of study.,0-3 months after graduation,0-3 months after graduation,Other On-line Job Posting Systems (please specify),Indeed,,,,,,,No,,Somewhat Satisfied,Satisfied,Dissatisfied,,Somewhat Satisfied,Somewhat Satisfied,Somewhat Satisfied,Very Satisfied,,,Strongly Agree,
32693,17Jan2017 16:07:01,"Enrolled in a program of continuing education (e.g., graduate, professional school, certificate program, additional coursework)",,Agree,,,,,,,,,,,,,,Grand Valley State University,Michigan,,Business Administration,Master's,No,Somewhat Satisfied,Somewhat Satisfied,Satisfied,Satisfied,Somewhat Satisfied,Satisfied,Somewhat Satisfied,Satisfied,Somewhat Satisfied,Satisfied,Somewhat Satisfied,,
32694,31May2018 13:18:51,Employed full time (on average 30 hours or more per week),,,Bethany Christian Services,Administrative Assistant,Michigan,Madison Heights,,Hourly,"$20,000 - $24,999",A college degree is required and the position is related to my field of study.,0-3 months after graduation,0-3 months after graduation,Other,,Organization website,,,,,,No,Satisfied,,Dissatisfied,Satisfied,,,Somewhat Satisfied,Somewhat Satisfied,Satisfied,,,Agree,
32695,23Sep2016 7:45:54,"Enrolled in a program of continuing education (e.g., graduate, professional school, certificate program, additional coursework)",,Strongly Agree,,,,,,,,,,,,,,Grand Valley State University,Michigan,,Physical Therapy,Doctorate,Yes,,Satisfied,,,,,Dissatisfied,Satisfied,,,,,
32696,10Jul2020 19:27:00,Employed full time (on average 30 hours or more per week),,,UPMC Hillman Cancer Center,Radiation Therapist,Pennsylvania,Pittsburgh,,Hourly,"$60,000 - $64,999",A college degree is required and the position is related to my field of study.,3-6 months before graduation,3-6 months before graduation,Other On-line Job Posting Systems (please specify),Indeed,,,,,,,No,Satisfied,,,Somewhat Satisfied,,,Very Satisfied,,Very Satisfied,,,Strongly Agree,
32697,31May2018 13:42:24,Employed full time (on average 30 hours or more per week),,,Sarah Cannon,Clinical Research Nurse,Tennessee,Nashville,,Hourly,"$60,000 - $64,999",A college degree is required and the position is related to my field of study.,0-3 months before graduation,0-3 months before graduation,Other On-line Job Posting Systems (please specify),ONS.com,,,,,,,No,,,,Satisfied,,Satisfied,Satisfied,,Very Satisfied,,Satisfied,Strongly Agree,Satisfied
32698,26Jun2020 15:42:00,Seeking employment,,,,,,,,,,,,,,,,,,,,,Yes,,,Satisfied,Satisfied,,Satisfied,,Satisfied,Satisfied,,,Neutral,
32699,06Jun2019 13:46:56,Employed full time (on average 30 hours or more per week),,,WebHorse Marketing,Marketing Specialist,Michigan,Howell,,Hourly,"$50,000 - $54,999",A college degree is required and the position is related to my field of study.,0-3 months after graduation,0-3 months after graduation,Other On-line Job Posting Systems (please specify),Glassdoor,,,,,,,No,Somewhat Satisfied,Somewhat Satisfied,Somewhat Satisfied,Somewhat Satisfied,Dissatisfied,Dissatisfied,Satisfied,Somewhat Satisfied,Satisfied,Satisfied,Somewhat Satisfied,Strongly Agree,Dissatisfied
32700,13Dec2019 13:50:00,Employed full time (on average 30 hours or more per week),,,Gentex,Packaging Engineer,Michigan,Zeeland,,Hourly,"$95,000 - $100,00",An undergraduate degree is required and the position is related to my field of study,6+ months before graduation,6+ months before graduation,Personal Network,,,,,,,,,,,,,,,,,,,,Strongly Agree,
32701,10Nov2020 16:17:00,Employed full time (on average 30 hours or more per week),,,Developmental Enhancement Behavioral Health,Behavior Technician,Michigan,Wyoming,,Hourly,"$30,000 - $34,999",A college degree is required and the position is related to my field of study.,3-6 months after graduation,3-6 months after graduation,Other On-line Job Posting Systems (please specify),Indeed,,,,,,,No,,,Somewhat Satisfied,,,,,,,,Somewhat Satisfied,Agree,
32702,29Nov2017 13:58:25,Employed full time (on average 30 hours or more per week),,,Minnesota Timberwolves & Lynx,Front Desk,Minnesota,Minneapolis,,Hourly,"$30,000 - $34,999","A college degree is not required for this job, but my degree helped me to obtain it.",0-3 months after graduation,0-3 months after graduation,Other On-line Job Posting Systems (please specify),,,,,,,,Yes,Somewhat Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Somewhat Satisfied,Somewhat Satisfied,Very Satisfied,,,Agree,Satisfied
32703,17Jan2017 20:01:40,Employed full time (on average 30 hours or more per week),,Agree,Wedgwood,Recreational Therapist,Michigan,Grand Rapids,,Hourly,"$40,000 - $44,999",A college degree is required and the position is related to my field of study.,0-3 months after graduation,0-3 months after graduation,Personal Network,,,,,,,,Yes,Satisfied,Satisfied,Satisfied,,,,,Satisfied,,,Satisfied,,
32704,06Jun2019 18:36:10,Seeking employment,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,
32705,14Feb2019 13:06:33,Employed full time (on average 30 hours or more per week),,,Nursing home,CNA,Michigan,Armada,,Click to write Choice 3,,"A college degree is not required for this job, but my degree helped me to obtain it.",3-6 months after graduation,3-6 months after graduation,Other On-line Job Posting Systems (please specify),INDEED,,,,,,,No,,Somewhat Satisfied,,,,,,,,,,Agree,
32706,10Jul2020 22:55:00,Employed full time (on average 30 hours or more per week),,,East Valley Endoscopy,Unit Aide,Michigan,Grand Rapids,,Hourly,"$20,000 - $24,999",Having a college degree made no difference to me obtaining this position.,0-3 months after graduation,0-3 months after graduation,Personal Network,,,,,,,,,,,,,,,,,,,,Disagree,
32707,15Sep2016 12:18:49,Employed full time (on average 30 hours or more per week),,Agree,Courtyard by Marriott,Front desk agent,Michigan,Grand Rapids,,Hourly,"$25,000 - $29,999","A college degree is not required for this job, but my degree helped me to obtain it.",3-6 months before graduation,3-6 months before graduation,Career Fair,,,,,,,,Yes,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,,
32708,10Jul2020 18:32:00,Employed full time (on average 30 hours or more per week),,,Packback,None,Illinois,Chicago,,Hourly,"$40,000 - $44,999",A college degree is required and the position is related to my field of study.,3-6 months before graduation,3-6 months before graduation,Handshake (GVSU Online Recruiting System),,,,,,,,Yes,Very Satisfied,,Satisfied,,Satisfied,,,Dissatisfied,Very Satisfied,,,Strongly Agree,
32709,07Jun2019 9:21:33,Employed full time (on average 30 hours or more per week),,,"Kruggel Lawton & Company, CPS",Staff Accountant,Indiana,Elkhart,,Hourly,"$50,000 - $54,999",A college degree is required and the position is related to my field of study.,0-3 months before graduation,0-3 months before graduation,Other GVSU Career Event,,,,,,,,Yes,Satisfied,Somewhat Satisfied,Satisfied,,Satisfied,,Very Satisfied,,Somewhat Satisfied,Very Satisfied,,Agree,
32710,06Jun2017 9:48:12,"Enrolled in a program of continuing education (e.g., graduate, professional school, certificate program, additional coursework)",,Strongly Agree,,,,,,,,,,,,,,Florida State University,Florida,,Communication Sciences and Disorders,Master's,No,,Satisfied,,,,,Very Satisfied,Somewhat Satisfied,,Satisfied,,,
32711,17Feb2020 16:29:00,Employed full time (on average 30 hours or more per week),,,Georgia Pacific,Safety Associate,Georgia,Atlanta,,Hourly,"$65,000 - $69,999",A college degree is required and the position is related to my field of study.,6+ months before graduation,6+ months before graduation,Other,,Summer Internship,,,,,,Yes,,Very Satisfied,Satisfied,,,Satisfied,Satisfied,Satisfied,Satisfied,,,Strongly Agree,
